Algorithm,Comparisons,Swaps,Time(microseconds)
Bubble Sort,498870,256316,3256
Heap Sort,11597,9007,221
Insertion Sort,256316,256316,2032
Quick Sort,11074,2411,132
Selection Sort,499500,992,1554
Merge Sort,8710,9976,401
Bubble Sort,498510,246416,3134
Heap Sort,11696,9130,199
Insertion Sort,246416,246416,2117
Quick Sort,10873,2394,104
Selection Sort,499500,997,1509
Merge Sort,8687,9976,398
Bubble Sort,497960,242268,2956
Heap Sort,11755,9078,195
Insertion Sort,242268,242268,1827
Quick Sort,11197,2351,103
Selection Sort,499500,996,1482
Merge Sort,8711,9976,387
Bubble Sort,499175,245174,3015
Heap Sort,11735,9129,201
Insertion Sort,245174,245174,1953
Quick Sort,11646,2347,107
Selection Sort,499500,992,1686
Merge Sort,8702,9976,476
Bubble Sort,499122,257308,2384
Heap Sort,11688,9088,162
Insertion Sort,257308,257308,1582
Quick Sort,11147,2415,93
Selection Sort,499500,989,1272
Merge Sort,8711,9976,307
Bubble Sort,499200,252250,2362
Heap Sort,11690,9092,161
Insertion Sort,252250,252250,1499
Quick Sort,10848,2402,92
Selection Sort,499500,995,1309
Merge Sort,8690,9976,303
Bubble Sort,499065,247681,2392
Heap Sort,11679,9075,163
Insertion Sort,247681,247681,1506
Quick Sort,12353,2315,92
Selection Sort,499500,988,1293
Merge Sort,8669,9976,291
Bubble Sort,498419,248987,2747
Heap Sort,11718,9098,210
Insertion Sort,248987,248987,2001
Quick Sort,11322,2381,108
Selection Sort,499500,992,1468
Merge Sort,8716,9976,409
Bubble Sort,498465,244498,3227
Heap Sort,11687,9101,209
Insertion Sort,244498,244498,2137
Quick Sort,11128,2376,116
Selection Sort,499500,992,1614
Merge Sort,8727,9976,419
Bubble Sort,498225,250855,3248
Heap Sort,11683,9120,212
Insertion Sort,250855,250855,2110
Quick Sort,10739,2402,113
Selection Sort,499500,993,1612
Merge Sort,8699,9976,416
